node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry
1947,,0.000000,1.000000,,,0,0.100000,0.100000,"POINT (0.000000 1.000000)"
1945,,2.000000,1.000000,,,1,0.100000,0.100000,"POINT (2.000000 1.000000)"
1943,,0.000000,3.000000,,,2,0.100000,0.100000,"POINT (0.000000 3.000000)"
1941,,2.000000,3.000000,,,3,0.100000,0.100000,"POINT (2.000000 3.000000)"
1940,,5.000000,4.000000,,,4,0.100000,0.100000,"POINT (5.000000 4.000000)"
1939,,5.000000,3.000000,,,5,0.100000,0.100000,"POINT (5.000000 3.000000)"
1938,,5.000000,2.000000,,,6,0.100000,0.100000,"POINT (5.000000 2.000000)"
1937,,5.000000,1.000000,,,7,0.100000,0.100000,"POINT (5.000000 1.000000)"
1936,,5.000000,0.000000,,,8,0.100000,0.100000,"POINT (5.000000 0.000000)"
1935,,7.000000,0.000000,,,9,0.100000,0.100000,"POINT (7.000000 0.000000)"
1934,,7.000000,1.000000,,,10,0.100000,0.100000,"POINT (7.000000 1.000000)"
1933,,7.000000,2.000000,,,11,0.100000,0.100000,"POINT (7.000000 2.000000)"
1932,,8.000000,1.000000,,,12,0.100000,0.100000,"POINT (8.000000 1.000000)"
1930,,7.000000,3.000000,,,13,0.100000,0.100000,"POINT (7.000000 3.000000)"
1929,,7.000000,4.000000,,,14,0.100000,0.100000,"POINT (7.000000 4.000000)"
1928,,10.000000,1.000000,,,15,0.100000,0.100000,"POINT (10.000000 1.000000)"
1927,,10.000000,3.000000,,,16,0.100000,0.100000,"POINT (10.000000 3.000000)"
1924,,12.000000,1.000000,,,17,0.100000,0.100000,"POINT (12.000000 1.000000)"
1923,,12.000000,3.000000,,,18,0.100000,0.100000,"POINT (12.000000 3.000000)"
19401,,4.000000,1.000000,,,19,0.100000,0.100000,"POINT (4.000000 1.000000)"
1863,,46.000000,3.000000,,,0,0.100000,0.100000,"POINT (46.000000 3.000000)"
1864,,46.000000,2.000000,,,1,0.100000,0.100000,"POINT (46.000000 2.000000)"
1879,,38.000000,2.000000,,,2,0.100000,0.100000,"POINT (38.000000 2.000000)"
1880,,36.000000,3.000000,,,3,0.100000,0.100000,"POINT (36.000000 3.000000)"
1882,,35.000000,3.000000,,,4,0.100000,0.100000,"POINT (35.000000 3.000000)"
1883,,35.000000,4.000000,,,5,0.100000,0.100000,"POINT (35.000000 4.000000)"
1884,,36.000000,2.000000,,,6,0.100000,0.100000,"POINT (36.000000 2.000000)"
1885,,35.000000,2.000000,,,7,0.100000,0.100000,"POINT (35.000000 2.000000)"
1886,,35.000000,1.000000,,,8,0.100000,0.100000,"POINT (35.000000 1.000000)"
1887,,35.000000,0.000000,,,9,0.100000,0.100000,"POINT (35.000000 0.000000)"
1888,,33.000000,0.000000,,,10,0.100000,0.100000,"POINT (33.000000 0.000000)"
1889,,33.000000,1.000000,,,11,0.100000,0.100000,"POINT (33.000000 1.000000)"
1890,,33.000000,2.000000,,,12,0.100000,0.100000,"POINT (33.000000 2.000000)"
1891,,33.000000,3.000000,,,13,0.100000,0.100000,"POINT (33.000000 3.000000)"
1892,,33.000000,4.000000,,,14,0.100000,0.100000,"POINT (33.000000 4.000000)"
1893,,30.000000,3.000000,,,15,0.100000,0.100000,"POINT (30.000000 3.000000)"
1894,,32.000000,1.000000,,,16,0.100000,0.100000,"POINT (32.000000 1.000000)"
1896,,30.000000,2.000000,,,17,0.100000,0.100000,"POINT (30.000000 2.000000)"
1911,,22.000000,3.000000,,,18,0.100000,0.100000,"POINT (22.000000 3.000000)"
1912,,22.000000,2.000000,,,19,0.100000,0.100000,"POINT (22.000000 2.000000)"
1867,,42.000000,3.000000,,,20,0.100000,0.100000,"POINT (42.000000 3.000000)"
1872,,41.000000,2.000000,,,21,0.100000,0.100000,"POINT (41.000000 2.000000)"
1900,,24.000000,2.000000,,,22,0.100000,0.100000,"POINT (24.000000 2.000000)"
1903,,23.000000,3.000000,,,23,0.100000,0.100000,"POINT (23.000000 3.000000)"
1817,,75.000000,2.000000,,,0,0.100000,0.100000,"POINT (75.000000 2.000000)"
1818,,75.000000,1.000000,,,1,0.100000,0.100000,"POINT (75.000000 1.000000)"
1826,,69.000000,2.000000,,,2,0.100000,0.100000,"POINT (69.000000 2.000000)"
1828,,67.000000,3.000000,,,3,0.100000,0.100000,"POINT (67.000000 3.000000)"
1829,,66.000000,2.000000,,,4,0.100000,0.100000,"POINT (66.000000 2.000000)"
1830,,66.000000,3.000000,,,5,0.100000,0.100000,"POINT (66.000000 3.000000)"
1831,,66.000000,4.000000,,,6,0.100000,0.100000,"POINT (66.000000 4.000000)"
1832,,69.000000,1.000000,,,7,0.100000,0.100000,"POINT (69.000000 1.000000)"
1833,,66.000000,1.000000,,,8,0.100000,0.100000,"POINT (66.000000 1.000000)"
1834,,66.000000,0.000000,,,9,0.100000,0.100000,"POINT (66.000000 0.000000)"
1835,,64.000000,1.000000,,,10,0.100000,0.100000,"POINT (64.000000 1.000000)"
1836,,64.000000,0.000000,,,11,0.100000,0.100000,"POINT (64.000000 0.000000)"
1837,,64.000000,2.000000,,,12,0.100000,0.100000,"POINT (64.000000 2.000000)"
1838,,64.000000,3.000000,,,13,0.100000,0.100000,"POINT (64.000000 3.000000)"
1839,,64.000000,4.000000,,,14,0.100000,0.100000,"POINT (64.000000 4.000000)"
1840,,63.000000,3.000000,,,15,0.100000,0.100000,"POINT (63.000000 3.000000)"
1842,,61.000000,2.000000,,,16,0.100000,0.100000,"POINT (61.000000 2.000000)"
1843,,61.000000,1.000000,,,17,0.100000,0.100000,"POINT (61.000000 1.000000)"
1851,,56.000000,2.000000,,,18,0.100000,0.100000,"POINT (56.000000 2.000000)"
1852,,56.000000,1.000000,,,19,0.100000,0.100000,"POINT (56.000000 1.000000)"
